,author id,name,paper id
1734,33/223,Albert Zündorf,conf/icse/GehrkeGNNTWZ02
1735,13/2537,Sudheendra Hangal,conf/icse/HangalL02
1736,l/MonicaSLam,Monica S. Lam,conf/icse/HangalL02
1737,57/6158,James A. Jones,conf/icse/JonesHS02
1738,h/MaryJeanHarrold,Mary Jean Harrold,conf/icse/JonesHS02
1739,s/JohnTStasko,John T. Stasko,conf/icse/JonesHS02
1740,33/1701,Chanika Hobatr,conf/icse/HobatrM01
1741,m/BrianAMalloy,Brian A. Malloy,conf/icse/HobatrM01
1742,96/203,James J. Hunt,conf/icse/HuntR01
1743,20/648,Jürgen Reuter,conf/icse/HuntR01
1744,d/MDucasse,Mireille Ducassé,conf/icse/Ducasse99
1745,g/VolkerGruhn,Volker Gruhn,conf/icse/GruhnU98
1746,35/3860,Juri Urbainczyk,conf/icse/GruhnU98
1747,46/1813,Frank Houdek,conf/icse/HoudekSW98
1748,s/KurtSchneider,Kurt Schneider,conf/icse/HoudekSW98
1749,09/3591,Eva Wieser,conf/icse/HoudekSW98
1750,01/2141,Juha Kuusela,conf/icse/KuuselaMX98
1751,24/816,Alessandro Maccari,conf/icse/KuuselaMX98
1752,05/2547,Jianli Xu,conf/icse/KuuselaMX98
