,doi,forum,forum id,paper id,title,year
823,10.1016/S0747-5632(02)00006-7,Comput. Hum. Behav.,journals/chb,journals/chb/DurndellH02,"Computer self efficacy, computer anxiety, attitudes towards the Internet and reported experience with the Internet, by gender, in an East European sample.",2002
824,10.1016/S0747-5632(02)00003-1,Comput. Hum. Behav.,journals/chb,journals/chb/PowellWH02,Evaluation of the usefulness of &apos;Marvin&apos;; a computerized assessment tool for investigative interviewers of children.,2002
825,10.1016/S0747-5632(00)00037-6,Comput. Hum. Behav.,journals/chb,journals/chb/McIlroyBTG01,The relation of gender and background experience to self-reported computing anxieties and cognitions.,2001
826,,CSCL,conf/cscl,conf/cscl/FieldsJK19,Bugs as a Nexus for Emergent Peer Collaborations - Contextual and Classroom Supports for Solving Problems in Electronic Textiles.,2019
827,,CSCL,conf/cscl,conf/cscl/Proctor19,Measuring the Computational in Computational Participation - Debugging Interactive Stories in Middle School Computer Science.,2019
828,,CSCL,conf/cscl,conf/cscl/SalehDEL15,Assessing Young Children&apos;s Cognition through Multi-Modal Interviews.,2015
829,,CSCL,conf/cscl,conf/cscl/MolinariCBPB13,Emotion Feedback During Computer-mediated Collaboration - Effects on Self-Reported Emotions and Perceived Interaction.,2013
830,,CSCL,conf/cscl,conf/cscl/ReynoldsHSN13,Interview Findings on Middle Schoolers&apos; Collaboration in Self-Organizing Game Design Teams.,2013
831,,CSCL,conf/cscl,conf/cscl/WeckerK011,Explaining the Effects of Continuous and Faded Scripts on Online Search Skills - The Role of Collaborative Strategy Practice.,2011
832,,CSCL,conf/cscl,conf/cscl/ChenLT09,Integrating CMC and verbal discussions in students&apos; collaborative learning in a F2F classroom.,2009
833,,CSCL,conf/cscl,conf/cscl/LiuLC07,Enabling organizational learning through event reporting - a case study in a health care context.,2007
834,10.1007/978-94-017-0195-2_52,CSCL,conf/cscl,conf/cscl/AllmendingerTHS03,Nonverbal Signs in Virtual Environments.,2003
835,,CSCL,conf/cscl,conf/cscl/Resta95,Project CIRCLE - student mentors as a strategy for training and supporting teachers in the use of computer-based tools for collaborative learning.,1995
836,10.1145/3411764.3445680,CHI,conf/chi,conf/chi/0005ZT21,Older Adults&apos; Think-Aloud Verbalizations and Speech Features for Identifying User Experience Problems.,2021
837,10.1145/3411764.3445569,CHI,conf/chi,conf/chi/0006ZTY21,Designing Effective Interview Chatbots - Automatic Chatbot Profiling and Design Suggestion Generation for Chatbot Debugging.,2021
838,10.1145/3411763.3451815,CHI Extended Abstracts,conf/chi,conf/chi/AnastasiouL21,Making Sense of Online Discussions - Can Automated Reports help?,2021
839,10.1145/3411764.3445809,CHI,conf/chi,conf/chi/BoschZP0OB21,Students&apos; Verbalized Metacognition During Computerized Learning.,2021
840,10.1145/3411764.3445411,CHI,conf/chi,conf/chi/Frommel0M21,"Gathering Self-Report Data in Games Through NPC Dialogues - Effects on Data Quality, Data Quantity, Player Experience, and Information Intimacy.",2021
841,10.1145/3411764.3445279,CHI,conf/chi,conf/chi/KouG21,Flag and Flaggability in Automated Moderation - The Case of Reporting Toxic Behavior in an Online Game Community.,2021
842,10.1145/3411764.3445737,CHI,conf/chi,conf/chi/LjungbladMBGOF21,What Matters in Professional Drone Pilots&apos; Practice? An Interview Study to Understand the Complexity of Their Work and Inform Human-Drone Interaction Research.,2021
843,10.1145/3411764.3445734,CHI,conf/chi,conf/chi/PaterCPPTJ21,Standardizing Reporting of Participant Compensation in HCI - A Systematic Literature Review and Recommendations for the Field.,2021
844,10.1145/3411764.3445324,CHI,conf/chi,conf/chi/PereiraH21,Communication Skills Training Intervention Based on Automated Recognition of Nonverbal Signals.,2021
845,10.1145/3411763.3451807,CHI Extended Abstracts,conf/chi,conf/chi/SaltzLW21,Encounters with Visual Misinformation and Labels Across Platforms - An Interview and Diary Study to Inform Ecosystem Approaches to Misinformation Interventions.,2021
846,10.1145/3411764.3445538,CHI,conf/chi,conf/chi/SchoopHH21,UMLAUT - Debugging Deep Learning Programs using Program Structure and Model Behavior.,2021
847,10.1145/3411764.3445422,CHI,conf/chi,conf/chi/StrasnickAF21,Coupling Simulation and Hardware for Interactive Circuit Debugging.,2021
848,10.1145/3411764.3445150,CHI,conf/chi,conf/chi/Venkatasubramanian21,Exploring A Reporting Tool to Empower Individuals with Intellectual and Developmental Disabilities to Self-Report Abuse.,2021
849,10.1145/3411763.3451627,CHI Extended Abstracts,conf/chi,conf/chi/XueADC21,Investigating the Relationship between Momentary Emotion Self-reports and Head and Eye Movements in HMD-based 360° VR Video Watching.,2021
850,10.1145/3313831.3376690,CHI,conf/chi,conf/chi/AhmadL20,Addressing Anonymous Abuses - Measuring the Effects of Technical Mechanisms on Reported User Behaviors.,2020
851,10.1145/3334480.3381654,CHI Extended Abstracts,conf/chi,conf/chi/BluntDN20,Planet Bug - Promoting Awareness of Declining Insect Populations.,2020
852,10.1145/3313831.3376461,CHI,conf/chi,conf/chi/ChinMY20,Empathy Is All You Need - How a Conversational Agent Should Respond to Verbal Abuse.,2020
853,10.1145/3334480.3382897,CHI Extended Abstracts,conf/chi,conf/chi/CibrianJSPB20,Combining Eye Tracking and Verbal Response to Understand the Impact of a Global Filter.,2020
854,10.1145/3313831.3376435,CHI,conf/chi,conf/chi/ErnalaBLE20,How Well Do People Report Time Spent on Facebook? - An Evaluation of Established Survey Questions with Recommendations.,2020
855,10.1145/3313831.3376816,CHI,conf/chi,conf/chi/FunkTE20,"Non-Verbal Auditory Input for Controlling Binary, Discrete, and Continuous Input in Automotive User Interfaces.",2020
856,10.1145/3313831.3376485,CHI,conf/chi,conf/chi/GathaniLB20,"Debugging Database Queries - A Survey of Tools, Techniques, and Users.",2020
857,10.1145/3334480.3383019,CHI Extended Abstracts,conf/chi,conf/chi/GhoshMD20,Towards Improving Emotion Self-report Collection using Self-reflection.,2020
858,10.1145/3334480.3375206,CHI Extended Abstracts,conf/chi,conf/chi/JohnsonNFPM20,The ECHOS Platform to Enhance Communication for Nonverbal Children with Autism - A Case Study.,2020
859,10.1145/3334480.3383075,CHI Extended Abstracts,conf/chi,conf/chi/KimKNS20,&quot;I Can Feel Your Empathic Voice&quot; - Effects of Nonverbal Vocal Cues in Voice User Interface.,2020
860,10.1145/3313831.3376533,CHI,conf/chi,conf/chi/LiuAH20,"Paths Explored, Paths Omitted, Paths Obscured - Decision Points &amp; Selective Reporting in End-to-End Data Analysis.",2020
861,10.1145/3334480.3382832,CHI Extended Abstracts,conf/chi,conf/chi/LofflerDWH20,Hybridity as Design Strategy for Service Robots to Become Domestic Products.,2020
862,10.1145/3334480.3383065,CHI Extended Abstracts,conf/chi,conf/chi/MalyshevaK20,Bugs as Features - Describing Patterns in Student Code through a Classification of Bugs.,2020
863,10.1145/3313831.3376832,CHI,conf/chi,conf/chi/Monaco20,Bug or Feature? Covert Impairments to Human Computer Interaction.,2020
864,10.1145/3391203.3391209,AsianCHI@CHI,conf/chi,conf/chi/ParkKJ20,Challenges and Opportunities for Accessible Seoul Metropolitan Buses - An Interview Study of People with Visual Impairments.,2020
865,10.1145/3313831.3376154,CHI,conf/chi,conf/chi/ShinSSPLJ20,TalkingBoogie - Collaborative Mobile AAC System for Non-verbal Children with Developmental Disabilities and Their Caregivers.,2020
866,10.1145/3313831.3376606,CHI,conf/chi,conf/chi/TanenbaumHB20,&quot;How do I make this thing smile?&quot; - An Inventory of Expressive Nonverbal Communication in Commercial Social Virtual Reality Platforms.,2020
867,10.1145/3313831.3376448,CHI,conf/chi,conf/chi/Wacharamanotham20,Transparency of CHI Research Artifacts - Results of a Self-Reported Survey.,2020
868,10.1145/3391203.3391205,AsianCHI@CHI,conf/chi,conf/chi/WangC20,Design Thinking for Developing a Case-based Reasoning Emotion-Sensing Robot for Interactive Interview.,2020
869,10.1145/3313831.3376171,CHI,conf/chi,conf/chi/WilsonSPOB20,Self-Expression by Design - Co-Designing the ExpressiBall with Minimally-Verbal Children on the Autism Spectrum.,2020
870,10.1145/3313831.3376131,CHI,conf/chi,conf/chi/XiaoZCYC20,If I Hear You Correctly - Building and Evaluating Interview Chatbots with Active Listening Skills.,2020
871,10.1145/3313831.3376787,CHI,conf/chi,conf/chi/YeoKK20,Toward Immersive Self-Driving Simulations - Reports from a User Study across Six Platforms.,2020
872,10.1145/3290605.3300484,CHI,conf/chi,conf/chi/AshktorabJLW19,Resilient Chatbots - Repair Strategy Preferences for Conversational Breakdowns.,2019
873,10.1145/3290605.3300281,CHI,conf/chi,conf/chi/Berkel0KHDFK19,Context-Informed Scheduling and Analysis - Improving Accuracy of Mobile Self-Reports.,2019
874,10.1145/3290605.3300782,CHI,conf/chi,conf/chi/BrackenburyDRVH19,How Users Interpret Bugs in Trigger-Action Programming.,2019
875,10.1145/3290607.3313032,CHI Extended Abstracts,conf/chi,conf/chi/BrancoBFG19,Designing Free-Living Reports for Parkinson&apos;s Disease.,2019
876,10.1145/3290605.3300289,CHI,conf/chi,conf/chi/CassidyRM19,An Evaluation of Radar Metaphors for Providing Directional Stimuli Using Non-Verbal Sound.,2019
877,10.1145/3290605.3300807,CHI,conf/chi,conf/chi/ChandrasegaranB19,TalkTraces - Real-Time Capture and Visualization of Verbal Content in Meetings.,2019
878,10.1145/3290607.3312826,CHI Extended Abstracts,conf/chi,conf/chi/ChinY19,Should an Agent Be Ignoring It? - A Study of Verbal Abuse Types and Conversational Agents&apos; Response Styles.,2019
879,10.1145/3290605.3300618,CHI,conf/chi,conf/chi/CornoRR19,Empowering End Users in Debugging Trigger-Action Rules.,2019
880,10.1145/3290605.3300351,CHI,conf/chi,conf/chi/FrierPAOS19,Sampling Strategy for Ultrasonic Mid-Air Haptics.,2019
881,10.1145/3290605.3300728,CHI,conf/chi,conf/chi/KarchemskyZWGH19,Heimdall - A Remotely Controlled Inspection Workbench For Debugging Microcontroller Projects.,2019
882,10.1145/3290607.3311746,CHI Extended Abstracts,conf/chi,conf/chi/KreitzbergRSCG19,Careers in HCI and UX - The Digital Transformation from Craft to Strategy.,2019
883,10.1145/3290605.3300816,CHI,conf/chi,conf/chi/SrivastavaVLEB19,Continuous Evaluation of Video Lectures from Real-Time Difficulty Self-Report.,2019
884,10.1145/3290605.3300278,CHI,conf/chi,conf/chi/StrasnickFA19,Pinpoint - A PCB Debugging Pipeline Using Interruptible Routing and Instrumentation.,2019
885,10.1145/3290607.3299076,CHI Extended Abstracts,conf/chi,conf/chi/Wilson19,Co-Designing Digital Technologies to Support Minimally-Verbal Children on the Autism Spectrum.,2019
886,10.1145/3290605.3300251,CHI,conf/chi,conf/chi/WilsonBPS19,Co-Design Beyond Words - &apos;Moments of Interaction&apos; with Minimally-Verbal Children on the Autism Spectrum.,2019
887,10.1145/3290607.3312791,CHI Extended Abstracts,conf/chi,conf/chi/YoshimuraYMI19,Extending Discrete Verbal Commands with Continuous Speech for Flexible Robot Control.,2019
888,10.1145/3173574.3174076,CHI,conf/chi,conf/chi/AdamsMAECSGC18,Keppi - A Tangible User Interface for Self-Reporting Pain.,2018
889,10.1145/3173574.3174136,CHI,conf/chi,conf/chi/DodgePHAB18,How the Experts Do It - Assessing and Explaining Agent Behaviors in Real-Time Strategy Games.,2018
890,10.1145/3173574.3173683,CHI,conf/chi,conf/chi/GatehouseWBPL18,Troubling Vulnerability - Designing with LGBT Young People&apos;s Ambivalence Towards Hate Crime Reporting.,2018
891,10.1145/3173574.3174046,CHI,conf/chi,conf/chi/GlatzKBC18,Use the Right Sound for the Right Job - Verbal Commands and Auditory Icons for a Task-Management System Favor Different Information Processes in the Brain.,2018
892,10.1145/3173574.3173744,CHI,conf/chi,conf/chi/LuMKA18,Challenges and Opportunities for Technology-Supported Activity Reporting in the Workplace.,2018
893,10.1145/3170427.3188679,CHI Extended Abstracts,conf/chi,conf/chi/ReipschlagerOMG18,DebugAR - Mixed Dimensional Displays for Immersive Debugging of Distributed Systems.,2018
894,10.1145/3170427.3188641,CHI Extended Abstracts,conf/chi,conf/chi/RussisR18,A Debugging Approach for Trigger-Action Programming.,2018
895,10.1145/3173574.3174128,CHI,conf/chi,conf/chi/VaizmanELW18,ExtraSensory App - Data Collection In-the-Wild with Rich User Interface to Self-Report Behavior.,2018
896,10.1145/3173574.3173648,CHI,conf/chi,conf/chi/VegaCPKSJVH18,Back to Analogue - Self-Reporting for Parkinson&apos;s Disease.,2018
897,10.1145/3027063.3027093,CHI Extended Abstracts,conf/chi,conf/chi/BaylorBOFSS17,UX Interviewing - Personalized Coaching to Avoid Leaving Data on the Table.,2017
898,10.1145/3027063.3053129,CHI Extended Abstracts,conf/chi,conf/chi/BourlandGMM17,Project Telepathy - Targeted Verbal Communication using 3D Beamforming Speakers and Facial Electromyography.,2017
899,10.1145/3027063.3053206,CHI Extended Abstracts,conf/chi,conf/chi/DanisVWMO17,Factors that Help and Hinder a Daily Weighing and Reporting Behavior.,2017
900,10.1145/3027063.3048411,CHI Extended Abstracts,conf/chi,conf/chi/NobregaGVFCCMPS17,Designing Multi-Gateway Interactions In A Multi-Player Strategy Game.,2017
901,10.1145/3025453.3025856,CHI,conf/chi,conf/chi/SinghJ17,Toward Harmonizing Self-reported and Logged Social Data for Understanding Human Behavior.,2017
902,10.1145/3025453.3025911,CHI,conf/chi,conf/chi/WashRF17,Can People Self-Report Security Accurately? - Agreement Between Self-Report and Behavioral Measures.,2017
903,10.1145/3027063.3052759,CHI Extended Abstracts,conf/chi,conf/chi/ZamanskyRMCHGMN17,A Report on the First International Workshop on Research Methods in Animal-Computer Interaction.,2017
904,10.1145/3027063.3053122,CHI Extended Abstracts,conf/chi,conf/chi/ZhuFM17,Exploring the Effects of Strategy and Arousal of Cueing in Computer-Human Persuasion.,2017
905,10.1145/2851581.2889472,CHI Extended Abstracts,conf/chi,conf/chi/AbeI16,Hotaru - The Lightning Bug Game.,2016
906,10.1145/2858036.2858351,CHI,conf/chi,conf/chi/BianYGXGSM16,Effects of Pedagogical Agent&apos;s Personality and Emotional Feedback Strategy on Chinese Students&apos; Learning Experiences and Performance - A Study Based on Virtual Tai Chi Training Studio.,2016
